Seed,T1,D1,Ratio1,T2,D2,Ratio2,H,m,Original_m,Percentage_m,Command
1,252056,294870.114766,1.169860,118317,139503.317664,1.179064,29822509752,1,370377,0.000008,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
2,210294,158409.690875,0.753277,242903,187736.695883,0.772888,51081043482,2,453200,0.000009,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
3,168415,157612.031215,0.935855,67498,65227.572205,0.966363,11367675670,3,235917,0.000021,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
4,274937,223998.470200,0.814727,40198,34411.437485,0.856048,11051917526,3,315142,0.000016,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
5,82426,106795.505279,1.295653,13944,10430.366715,0.748018,574674072,2,48194,0.000083,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
6,40635,47942.649180,1.179836,288755,271951.052799,0.941806,2346711885,6,65886,0.000121,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
7,146073,154188.044110,1.055555,260393,215820.463675,0.828826,38036386689,7,406469,0.000022,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
8,105830,131599.131068,1.243496,236877,172051.454366,0.726332,25068692910,9,342710,0.000032,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
9,62092,51043.252515,0.822058,209855,192086.032890,0.915327,685806140,4,14318,0.000419,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
10,169744,170331.458042,1.003461,183280,148051.407484,0.807788,1944417520,8,22067,0.000453,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
11,277903,246185.523326,0.885869,157951,158160.490804,1.001326,43895056753,8,435857,0.000023,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
12,235680,181254.722796,0.769071,132055,157690.351990,1.194126,6224544480,9,73550,0.000150,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
13,189794,235812.583462,1.242466,102427,79690.327060,0.778021,19440030038,7,292225,0.000031,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
14,299849,248727.359102,0.829509,78997,77111.596674,0.976133,23687171453,3,378851,0.000013,../edf_hull --num=2 --period-min=4 --period-max=300000 --num-repeat=1000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1
